nameWithOwner,url,stargazerCount,createdAt,updatedAt,pushedAt,primaryLanguage,mergedPullRequests,releases,issues,closedIssues
Textualize/textual,https://github.com/Textualize/textual,36984,2021-04-08T15:24:47Z,2026-08-20T18:34:04Z,2026-07-11T06:02:34Z,Python,2311,223,2435,2202
AobingJava/JavaFamily,https://github.com/AobingJava/JavaFamily,36976,2019-11-12T04:26:18Z,2026-08-20T17:11:00Z,2025-11-03T12:37:27Z,,2,0,66,60
soxoj/maigret,https://github.com/soxoj/maigret,36913,2020-06-27T14:16:42Z,2026-08-20T17:54:39Z,2026-08-20T08:44:20Z,Python,1067,29,1589,1577
babysor/MockingBird,https://github.com/babysor/MockingBird,36911,2021-08-07T03:53:39Z,2026-08-20T08:25:49Z,2026-03-03T14:59:58Z,Python,82,1,891,414
CopilotKit/CopilotKit,https://github.com/CopilotKit/CopilotKit,36895,2023-06-19T04:08:31Z,2026-08-20T18:26:54Z,2026-08-20T18:44:11Z,TypeScript,3916,1000,1229,1092
blader/humanizer,https://github.com/blader/humanizer,36824,2026-01-18T05:30:15Z,2026-08-20T18:35:07Z,2026-08-19T05:58:53Z,Python,25,4,95,89
ashishpatel26/500-AI-Agents-Projects,https://github.com/ashishpatel26/500-AI-Agents-Projects,36761,2024-12-20T13:37:15Z,2026-08-20T17:31:11Z,2026-07-27T05:40:40Z,Python,17,0,46,10
musistudio/claude-code-router,https://github.com/musistudio/claude-code-router,36758,2025-02-25T02:17:18Z,2026-08-20T18:03:44Z,2026-08-20T08:46:00Z,TypeScript,77,22,1294,392
shadowsocks/shadowsocks-android,https://github.com/shadowsocks/shadowsocks-android,36758,2012-12-16T13:40:29Z,2026-08-20T17:56:14Z,2026-08-09T11:06:54Z,Kotlin,258,186,2526,2458
Dokploy/dokploy,https://github.com/Dokploy/dokploy,36741,2024-04-19T07:49:30Z,2026-08-20T17:44:13Z,2026-08-20T15:55:01Z,TypeScript,1681,170,2126,1640
google-ai-edge/mediapipe,https://github.com/google-ai-edge/mediapipe,36675,2019-06-13T19:16:41Z,2026-08-20T17:53:28Z,2026-08-20T17:52:47Z,C++,201,67,5666,5315
veggiemonk/awesome-docker,https://github.com/veggiemonk/awesome-docker,36675,2014-09-21T17:01:48Z,2026-08-20T14:06:00Z,2026-08-19T15:33:40Z,,1057,1,155,151
ZuodaoTech/everyone-can-use-english,https://github.com/ZuodaoTech/everyone-can-use-english,36669,2019-03-15T16:33:53Z,2026-08-20T18:04:24Z,2026-06-29T09:40:15Z,TypeScript,464,48,505,383
microsoft/Data-Science-For-Beginners,https://github.com/microsoft/Data-Science-For-Beginners,36666,2021-03-03T16:30:15Z,2026-08-20T18:15:14Z,2026-08-20T01:11:34Z,Jupyter Notebook,497,0,138,137
HKUDS/DeepTutor,https://github.com/HKUDS/DeepTutor,36638,2025-12-28T15:35:54Z,2026-08-20T18:35:27Z,2026-08-20T06:18:04Z,Python,292,69,374,299
jaywcjlove/linux-command,https://github.com/jaywcjlove/linux-command,36633,2016-11-12T15:44:26Z,2026-08-20T17:52:16Z,2026-08-11T18:01:06Z,Markdown,377,32,212,139
date-fns/date-fns,https://github.com/date-fns/date-fns,36632,2014-10-06T10:24:22Z,2026-08-20T15:31:27Z,2026-08-10T08:47:59Z,TypeScript,1073,127,2055,1390
typeorm/typeorm,https://github.com/typeorm/typeorm,36631,2016-02-29T07:41:14Z,2026-08-20T13:18:38Z,2026-08-13T06:47:32Z,TypeScript,2669,45,8637,8195
mpv-player/mpv,https://github.com/mpv-player/mpv,36605,2012-10-13T08:08:44Z,2026-08-20T18:01:25Z,2026-08-17T17:57:13Z,C,4136,89,11147,10148
khoj-ai/khoj,https://github.com/khoj-ai/khoj,36603,2021-08-16T01:48:44Z,2026-08-20T18:08:05Z,2026-08-02T01:55:40Z,Python,500,173,605,506
1Panel-dev/1Panel,https://github.com/1Panel-dev/1Panel,36584,2022-07-19T15:44:52Z,2026-08-20T17:11:47Z,2026-08-20T10:46:56Z,Go,5367,125,6898,6608
xinntao/Real-ESRGAN,https://github.com/xinntao/Real-ESRGAN,36529,2021-07-19T03:23:30Z,2026-08-20T17:50:19Z,2024-08-06T13:15:18Z,Python,21,10,764,179
inkonchain/docs,https://github.com/inkonchain/docs,36523,2024-05-07T16:49:36Z,2026-08-20T09:37:38Z,2026-08-13T14:41:21Z,MDX,418,0,41,13
nextcloud/server,https://github.com/nextcloud/server,36500,2016-06-02T07:44:14Z,2026-08-20T18:17:24Z,2026-08-20T17:51:26Z,PHP,34206,463,21467,18828
songquanpeng/one-api,https://github.com/songquanpeng/one-api,36497,2023-04-22T12:39:24Z,2026-08-20T18:45:12Z,2026-01-09T03:26:43Z,JavaScript,287,55,1832,901
doocs/leetcode,https://github.com/doocs/leetcode,36478,2018-09-16T14:03:03Z,2026-08-20T15:53:15Z,2026-08-19T13:10:20Z,Java,4704,21,64,60
hankcs/HanLP,https://github.com/hankcs/HanLP,36478,2014-10-09T06:36:16Z,2026-08-20T17:14:19Z,2025-11-15T23:08:17Z,Python,79,62,1424,1416
inkonchain/node,https://github.com/inkonchain/node,36476,2024-05-13T23:20:40Z,2026-08-20T09:37:40Z,2026-08-05T18:22:59Z,Shell,40,6,31,14
glanceapp/glance,https://github.com/glanceapp/glance,36475,2024-04-27T18:55:38Z,2026-08-20T18:16:51Z,2026-08-20T01:02:00Z,Go,118,34,534,310
open-guides/og-aws,https://github.com/open-guides/og-aws,36441,2016-07-13T17:30:16Z,2026-08-19T18:38:19Z,2024-08-16T02:51:54Z,Shell,498,0,229,89
tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,36417,2026-02-18T20:01:27Z,2026-08-20T18:33:54Z,2026-08-20T13:23:40Z,Rust,3020,56,1891,1716
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,36415,2021-01-02T12:08:37Z,2026-08-20T17:49:35Z,2025-08-01T11:54:09Z,,3,0,77,26
GorvGoyl/Clone-Wars,https://github.com/GorvGoyl/Clone-Wars,36393,2020-12-02T11:10:16Z,2026-08-20T17:44:06Z,2024-08-06T12:31:36Z,,130,0,90,70
inkonchain/ink-kit,https://github.com/inkonchain/ink-kit,36383,2024-11-04T16:32:17Z,2026-08-20T09:37:40Z,2025-10-20T15:44:41Z,TypeScript,91,0,5,3
formulahendry/955.WLB,https://github.com/formulahendry/955.WLB,36360,2019-03-27T23:53:37Z,2026-08-20T15:01:09Z,2025-02-03T05:15:20Z,,18,0,262,82
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,36323,2012-12-03T19:25:52Z,2026-08-20T07:25:32Z,2024-04-18T08:06:46Z,,106,0,2385,2266
keycloak/keycloak,https://github.com/keycloak/keycloak,36313,2013-07-02T13:38:51Z,2026-08-20T18:38:47Z,2026-08-20T18:22:03Z,Java,21061,112,19953,17282
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,36305,2023-04-07T02:29:19Z,2026-08-20T17:41:38Z,2025-04-29T01:19:32Z,TypeScript,541,12,469,337
microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,36305,2025-03-21T17:48:36Z,2026-08-20T18:05:47Z,2026-08-20T17:47:50Z,TypeScript,541,69,877,876
ItzCrazyKns/Vane,https://github.com/ItzCrazyKns/Vane,36296,2024-04-09T10:51:32Z,2026-08-20T18:06:26Z,2026-04-11T14:33:06Z,TypeScript,87,34,675,444
AdguardTeam/AdGuardHome,https://github.com/AdguardTeam/AdGuardHome,36254,2016-07-06T10:31:47Z,2026-08-20T17:41:09Z,2026-08-20T08:50:18Z,TypeScript,125,244,6052,4894
PDFMathTranslate/PDFMathTranslate,https://github.com/PDFMathTranslate/PDFMathTranslate,36244,2024-09-06T06:56:03Z,2026-08-20T15:23:50Z,2026-08-20T15:02:56Z,Python,154,24,881,757
Yuan1z0825/nature-skills,https://github.com/Yuan1z0825/nature-skills,36241,2026-04-24T03:11:46Z,2026-08-20T17:54:58Z,2026-08-20T07:03:35Z,Python,138,0,30,30
jax-ml/jax,https://github.com/jax-ml/jax,36185,2018-10-25T21:25:02Z,2026-08-20T18:28:19Z,2026-08-20T18:23:59Z,Python,20723,140,7233,5508
firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker,36169,2017-10-19T06:18:47Z,2026-08-20T18:31:26Z,2026-08-20T18:28:03Z,Rust,3702,90,1510,1459
pnpm/pnpm,https://github.com/pnpm/pnpm,36148,2016-01-28T07:40:43Z,2026-08-20T18:40:34Z,2026-08-20T18:41:11Z,Rust,4750,1000,6175,3846
hashicorp/vault,https://github.com/hashicorp/vault,36147,2015-02-25T00:15:59Z,2026-08-20T18:13:00Z,2026-08-20T18:06:44Z,Go,21334,182,6587,5430
carbon-app/carbon,https://github.com/carbon-app/carbon,36091,2017-06-16T02:50:28Z,2026-08-20T16:16:21Z,2026-02-10T05:07:19Z,JavaScript,669,215,696,629
geekxh/hello-algorithm,https://github.com/geekxh/hello-algorithm,36090,2020-05-29T05:47:09Z,2026-08-20T12:41:22Z,2023-06-13T04:13:17Z,Java,26,0,44,33
lerna/lerna,https://github.com/lerna/lerna,36050,2015-12-04T09:36:55Z,2026-08-20T17:31:19Z,2026-08-19T13:42:19Z,TypeScript,1080,253,2702,2418
Crosstalk-Solutions/project-nomad,https://github.com/Crosstalk-Solutions/project-nomad,36049,2025-06-24T15:35:01Z,2026-08-20T16:29:24Z,2026-08-19T15:39:49Z,TypeScript,409,76,537,494
slatedocs/slate,https://github.com/slatedocs/slate,36039,2013-09-13T22:15:24Z,2026-08-19T14:06:26Z,2026-02-01T05:54:12Z,,298,28,609,559
chatwoot/chatwoot,https://github.com/chatwoot/chatwoot,36019,2019-08-14T06:50:51Z,2026-08-20T17:44:04Z,2026-08-20T13:32:09Z,Ruby,6269,149,5772,4806
zsh-users/zsh-autosuggestions,https://github.com/zsh-users/zsh-autosuggestions,35997,2013-10-26T16:09:37Z,2026-08-20T14:22:11Z,2025-06-24T16:15:03Z,Shell,116,0,624,458
OpenBMB/VoxCPM,https://github.com/OpenBMB/VoxCPM,35929,2025-09-16T03:41:49Z,2026-08-20T18:16:28Z,2026-08-12T14:14:37Z,Python,25,14,321,227
medusajs/medusa,https://github.com/medusajs/medusa,35924,2020-01-18T13:39:04Z,2026-08-20T18:02:45Z,2026-08-20T18:10:21Z,TypeScript,9317,163,3916,3858
filebrowser/filebrowser,https://github.com/filebrowser/filebrowser,35912,2015-09-11T21:21:58Z,2026-08-20T18:27:22Z,2026-07-31T10:06:58Z,Go,847,157,2975,2975
wailsapp/wails,https://github.com/wailsapp/wails,35900,2018-12-15T23:14:06Z,2026-08-20T16:11:29Z,2026-08-20T15:13:03Z,Go,2122,357,2526,2363
solidjs/solid,https://github.com/solidjs/solid,35882,2018-04-24T16:36:27Z,2026-08-20T17:46:37Z,2026-08-20T18:14:18Z,TypeScript,457,37,1380,1361
searxng/searxng,https://github.com/searxng/searxng,35810,2021-04-12T15:18:15Z,2026-08-20T18:28:48Z,2026-08-20T16:09:27Z,Python,3146,0,1644,1466
XingangPan/DragGAN,https://github.com/XingangPan/DragGAN,35764,2023-05-18T10:08:02Z,2026-08-20T05:59:16Z,2024-05-18T17:51:40Z,Python,18,0,192,46
junegunn/vim-plug,https://github.com/junegunn/vim-plug,35752,2013-09-10T14:58:51Z,2026-08-20T17:46:45Z,2026-05-22T13:40:34Z,Vim Script,181,8,1045,972
alan2207/bulletproof-react,https://github.com/alan2207/bulletproof-react,35730,2021-05-30T14:47:16Z,2026-08-20T17:39:15Z,2026-05-14T13:53:04Z,TypeScript,75,0,118,81
